,Date,News_Source,Tweet_Number,compound,neg,neu,pos
150,2017-11-30,@CBS,50,0.0,0.0,1.0,0.0
151,2017-11-30,@CBS,49,0.6115,0.0,0.773,0.227
152,2017-11-30,@CBS,48,0.0,0.0,1.0,0.0
153,2017-11-30,@CBS,47,0.6808,0.0,0.752,0.248
154,2017-11-30,@CBS,46,0.3612,0.0,0.865,0.135
155,2017-11-30,@CBS,45,0.0,0.0,1.0,0.0
156,2017-11-30,@CBS,44,-0.3595,0.128,0.872,0.0
157,2017-11-30,@CBS,43,0.6239,0.0,0.55,0.45
158,2017-11-30,@CBS,42,0.0,0.0,1.0,0.0
159,2017-11-30,@CBS,41,0.5542,0.0,0.796,0.204
160,2017-11-30,@CBS,40,0.0,0.0,1.0,0.0
161,2017-11-30,@CBS,39,0.0,0.0,1.0,0.0
162,2017-11-30,@CBS,38,0.0,0.0,1.0,0.0
163,2017-11-30,@CBS,37,0.7482,0.0,0.566,0.434
164,2017-11-30,@CBS,36,0.8513,0.0,0.458,0.542
165,2017-11-30,@CBS,35,0.7232,0.0,0.698,0.302
166,2017-11-30,@CBS,34,0.0,0.0,1.0,0.0
167,2017-11-30,@CBS,33,0.8979,0.049,0.557,0.394
168,2017-11-30,@CBS,32,0.0,0.0,1.0,0.0
169,2017-11-30,@CBS,31,0.6988,0.0,0.548,0.452
170,2017-11-30,@CBS,30,0.0,0.0,1.0,0.0
171,2017-11-30,@CBS,29,0.7067,0.0,0.754,0.246
172,2017-11-30,@CBS,28,0.0,0.0,1.0,0.0
173,2017-11-30,@CBS,27,0.0,0.0,1.0,0.0
174,2017-11-30,@CBS,26,0.6514,0.0,0.842,0.158
175,2017-11-30,@CBS,25,0.1139,0.0,0.936,0.064
176,2017-11-29,@CBS,24,0.6825,0.0,0.772,0.228
177,2017-11-29,@CBS,23,0.5826,0.0,0.848,0.152
178,2017-11-29,@CBS,22,0.0,0.0,1.0,0.0
179,2017-11-29,@CBS,21,0.0,0.0,1.0,0.0
180,2017-11-29,@CBS,20,0.0,0.0,1.0,0.0
181,2017-11-29,@CBS,19,0.0,0.0,1.0,0.0
182,2017-11-29,@CBS,18,0.4559,0.0,0.858,0.142
183,2017-11-29,@CBS,17,0.0,0.0,1.0,0.0
184,2017-11-29,@CBS,16,0.6124,0.0,0.8,0.2
185,2017-11-29,@CBS,15,0.4926,0.0,0.842,0.158
186,2017-11-29,@CBS,14,0.6696,0.0,0.809,0.191
187,2017-11-29,@CBS,13,0.6696,0.0,0.817,0.183
188,2017-11-29,@CBS,12,0.4201,0.087,0.754,0.158
189,2017-11-29,@CBS,11,0.5826,0.0,0.848,0.152
190,2017-11-29,@CBS,10,0.5106,0.0,0.751,0.249
191,2017-11-29,@CBS,9,0.9476,0.0,0.551,0.449
192,2017-11-29,@CBS,8,0.6289,0.0,0.629,0.371
193,2017-11-29,@CBS,7,0.0,0.0,1.0,0.0
194,2017-11-29,@CBS,6,-0.5904,0.258,0.742,0.0
195,2017-11-29,@CBS,5,0.4939,0.0,0.775,0.225
196,2017-11-29,@CBS,4,0.0,0.0,1.0,0.0
197,2017-11-29,@CBS,3,0.0,0.0,1.0,0.0
198,2017-11-29,@CBS,2,0.0,0.0,1.0,0.0
199,2017-11-29,@CBS,1,0.5994,0.0,0.794,0.206
200,2017-12-09,@CNN,100,0.4404,0.0,0.854,0.146
201,2017-12-09,@CNN,99,0.4588,0.0,0.824,0.176
202,2017-12-09,@CNN,98,0.3378,0.0,0.893,0.107
203,2017-12-09,@CNN,97,0.0,0.0,1.0,0.0
204,2017-12-09,@CNN,96,0.0258,0.0,0.942,0.058
205,2017-12-09,@CNN,95,0.4019,0.0,0.863,0.137
206,2017-12-09,@CNN,94,0.3612,0.073,0.777,0.15
207,2017-12-09,@CNN,93,0.0,0.0,1.0,0.0
208,2017-12-09,@CNN,92,0.0,0.0,1.0,0.0
209,2017-12-08,@CNN,91,-0.0516,0.112,0.785,0.103
210,2017-12-08,@CNN,90,-0.6486,0.259,0.741,0.0
211,2017-12-08,@CNN,89,-0.1263,0.101,0.817,0.082
212,2017-12-08,@CNN,88,-0.6124,0.278,0.722,0.0
213,2017-12-08,@CNN,87,-0.5574,0.167,0.833,0.0
214,2017-12-08,@CNN,86,-0.5423,0.259,0.741,0.0
215,2017-12-08,@CNN,85,-0.4404,0.215,0.679,0.106
216,2017-12-08,@CNN,84,0.1027,0.115,0.754,0.131
217,2017-12-08,@CNN,83,0.4019,0.0,0.863,0.137
218,2017-12-08,@CNN,82,0.5267,0.0,0.833,0.167
219,2017-12-08,@CNN,81,0.4588,0.0,0.81,0.19
220,2017-12-08,@CNN,80,0.0,0.0,1.0,0.0
221,2017-12-08,@CNN,79,0.0,0.0,1.0,0.0
222,2017-12-08,@CNN,78,0.0,0.0,1.0,0.0
223,2017-12-08,@CNN,77,0.0,0.0,1.0,0.0
224,2017-12-08,@CNN,76,-0.3626,0.152,0.848,0.0
225,2017-12-08,@CNN,75,-0.296,0.121,0.879,0.0
226,2017-12-08,@CNN,74,0.0,0.0,1.0,0.0
227,2017-12-08,@CNN,73,0.0,0.0,1.0,0.0
228,2017-12-08,@CNN,72,0.0,0.0,1.0,0.0
229,2017-12-08,@CNN,71,-0.34,0.107,0.893,0.0
230,2017-12-08,@CNN,70,0.0,0.0,1.0,0.0
231,2017-12-08,@CNN,69,0.4019,0.0,0.847,0.153
232,2017-12-08,@CNN,68,0.0,0.0,1.0,0.0
233,2017-12-08,@CNN,67,0.128,0.105,0.769,0.126
